// MAR strings block A40000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@A4047C MAP10_A.KCG
@A404BC MAP10_A.KCL
@A40FEE N<01>OQM
@A41616 &<03>&<03>&<03>&<03>&<03>&<03>&<03>&<03>&<03>&<03><06>
@A416C4 Y!|!|!|!|!|!|!|!|!Y%<06>
@A41754 Y!|!|!|!|!|!|!|!|!Y%&
@A418F4 !<05>#<01> e&
@A41984 A<05>C<01>@<05>F
@A42B10 @2A2B2C<02>
@A4CDEC MAP11_1A.KCG
@A4CE2C MAP11_1A.KCL
