glyph_index	shift_jis	character
330	82CA	ぬ
331	82CB	ね
332	82CC	の
333	82CD	は
334	82CE	ば
335	82CF	ぱ
336	82D0	ひ
337	82D1	び
338	82D2	ぴ
339	82D3	ふ
340	82D4	ぶ
341	82D5	ぷ
342	82D6	へ
343	82D7	べ
344	82D8	ぺ
345	82D9	ほ
346	82DA	ぼ
347	82DB	ぽ
348	82DC	ま
349	82DD	み
350	82DE	む
351	82DF	め
352	82E0	も
353	82E1	ゃ
354	82E2	や
355	82E3	ゅ
356	82E4	ゆ
357	82E5	ょ
358	82E6	よ
359	82E7	ら
360	82E8	り
361	82E9	る
362	82EA	れ
363	82EB	ろ
364	82EC	ゎ
365	82ED	わ
366	82EE	ゐ
367	82EF	ゑ
368	82F0	を
369	82F1	ん
384	8340	ァ
385	8341	ア
386	8342	ィ
387	8343	イ
388	8344	ゥ
389	8345	ウ
390	8346	ェ
391	8347	エ
392	8348	ォ
393	8349	オ
394	834A	カ
395	834B	ガ
396	834C	キ
397	834D	ギ
398	834E	ク
399	834F	グ
400	8350	ケ
401	8351	ゲ
402	8352	コ
403	8353	ゴ
404	8354	サ
405	8355	ザ
406	8356	シ
407	8357	ジ
408	8358	ス
409	8359	ズ
410	835A	セ
411	835B	ゼ
412	835C	ソ
413	835D	ゾ
414	835E	タ
415	835F	ダ
416	8360	チ
417	8361	ヂ
418	8362	ッ
419	8363	ツ
420	8364	ヅ
421	8365	テ
422	8366	デ
423	8367	ト
424	8368	ド
425	8369	ナ
426	836A	ニ
427	836B	ヌ
428	836C	ネ
429	836D	ノ
430	836E	ハ
431	836F	バ
432	8370	パ
433	8371	ヒ
434	8372	ビ
435	8373	ピ
436	8374	フ
437	8375	ブ
438	8376	プ
439	8377	ヘ
440	8378	ベ
441	8379	ペ
442	837A	ホ
443	837B	ボ
444	837C	ポ
445	837D	マ
446	837E	ミ
448	8380	ム
449	8381	メ
450	8382	モ
451	8383	ャ
452	8384	ヤ
453	8385	ュ
454	8386	ユ
455	8387	ョ
456	8388	ヨ
457	8389	ラ
458	838A	リ
459	838B	ル
460	838C	レ
461	838D	ロ
462	838E	ヮ
463	838F	ワ
464	8390	ヰ
465	8391	ヱ
466	8392	ヲ
467	8393	ン
468	8394	ヴ
469	8395	ヵ
470	8396	ヶ
479	839F	Α
480	83A0	Β
481	83A1	Γ
482	83A2	Δ
483	83A3	Ε
484	83A4	Ζ
485	83A5	Η
486	83A6	Θ
487	83A7	Ι
488	83A8	Κ
489	83A9	Λ
490	83AA	Μ
491	83AB	Ν
492	83AC	Ξ
493	83AD	Ο
494	83AE	Π
495	83AF	Ρ
496	83B0	Σ
497	83B1	Τ
498	83B2	Υ
499	83B3	Φ
500	83B4	Χ
501	83B5	Ψ
502	83B6	Ω
511	83BF	α
512	83C0	β
513	83C1	γ
514	83C2	δ
515	83C3	ε
516	83C4	ζ
517	83C5	η
518	83C6	θ
519	83C7	ι
520	83C8	κ
521	83C9	λ
522	83CA	μ
523	83CB	ν
524	83CC	ξ
525	83CD	ο
526	83CE	π
527	83CF	ρ
528	83D0	σ
529	83D1	τ
530	83D2	υ
531	83D3	φ
532	83D4	χ
533	83D5	ψ
534	83D6	ω
576	8440	А
577	8441	Б
578	8442	В
579	8443	Г
580	8444	Д
581	8445	Е
582	8446	Ё
583	8447	Ж
584	8448	З
585	8449	И
586	844A	Й
587	844B	К
588	844C	Л
589	844D	М
590	844E	Н
591	844F	О
592	8450	П
593	8451	Р
594	8452	С
595	8453	Т
596	8454	У
597	8455	Ф
598	8456	Х
599	8457	Ц
600	8458	Ч
601	8459	Ш
602	845A	Щ
603	845B	Ъ
604	845C	Ы
605	845D	Ь
606	845E	Э
607	845F	Ю
608	8460	Я
624	8470	а
625	8471	б
626	8472	в
627	8473	г
628	8474	д
629	8475	е
630	8476	ё
631	8477	ж
632	8478	з
633	8479	и
634	847A	й
635	847B	к
636	847C	л
637	847D	м
638	847E	н
640	8480	о
641	8481	п
642	8482	р
643	8483	с
644	8484	т
645	8485	у
646	8486	ф
647	8487	х
648	8488	ц
649	8489	ч
650	848A	ш
651	848B	щ
652	848C	ъ
653	848D	ы
654	848E	ь
655	848F	э
656	8490	ю
657	8491	я
0	849F	─
0	84A0	│
0	84A1	┌
0	84A2	┐
0	84A3	┘
0	84A4	└
0	84A5	├
0	84A6	┬
0	84A7	┤
0	84A8	┴
0	84A9	┼
0	84AA	━
0	84AB	┃
0	84AC	┏
0	84AD	┓
0	84AE	┛
0	84AF	┗
0	84B0	┣
0	84B1	┳
0	84B2	┫
0	84B3	┻
0	84B4	╋
0	84B5	┠
0	84B6	┯
0	84B7	┨
0	84B8	┷
0	84B9	┿
0	84BA	┝
0	84BB	┰
0	84BC	┥
0	84BD	┸
0	84BE	╂
1439	889F	亜
1440	88A0	唖
1441	88A1	娃
1442	88A2	阿
1443	88A3	哀
1444	88A4	愛
1445	88A5	挨
1446	88A6	姶
1447	88A7	逢
1448	88A8	葵
1449	88A9	茜
1450	88AA	穐
1451	88AB	悪
1452	88AC	握
1453	88AD	渥
1454	88AE	旭
1455	88AF	葦
1456	88B0	芦
1457	88B1	鯵
1458	88B2	梓
1459	88B3	圧
1460	88B4	斡
1461	88B5	扱
1462	88B6	宛
1463	88B7	姐
1464	88B8	虻
1465	88B9	飴
1466	88BA	絢
1467	88BB	綾
1468	88BC	鮎
1469	88BD	或
1470	88BE	粟
1471	88BF	袷
1472	88C0	安
1473	88C1	庵
1474	88C2	按
1475	88C3	暗
1476	88C4	案
1477	88C5	闇
1478	88C6	鞍
1479	88C7	杏
1480	88C8	以
1481	88C9	伊
1482	88CA	位
1483	88CB	依
1484	88CC	偉
1485	88CD	囲
1486	88CE	夷
1487	88CF	委
1488	88D0	威
1489	88D1	尉
1490	88D2	惟
1491	88D3	意
1492	88D4	慰
1493	88D5	易
1494	88D6	椅
1495	88D7	為
1496	88D8	畏
1497	88D9	異
1498	88DA	移
1499	88DB	維
1500	88DC	緯
1501	88DD	胃
1502	88DE	萎
1503	88DF	衣
1504	88E0	謂
1505	88E1	違
1506	88E2	遺
1507	88E3	医
1508	88E4	井
1509	88E5	亥
1510	88E6	域
1511	88E7	育
1512	88E8	郁
1513	88E9	磯
1514	88EA	一
1515	88EB	壱
1516	88EC	溢
1517	88ED	逸
1518	88EE	稲
1519	88EF	茨
1520	88F0	芋
1521	88F1	鰯
1522	88F2	允
1523	88F3	印
1524	88F4	咽
1525	88F5	員
1526	88F6	因
1527	88F7	姻
1528	88F8	引
1529	88F9	飲
1530	88FA	淫
1531	88FB	胤
1532	88FC	蔭
1536	8940	院
1537	8941	陰
1538	8942	隠
1539	8943	韻
1540	8944	吋
1541	8945	右
1542	8946	宇
1543	8947	烏
1544	8948	羽
1545	8949	迂
1546	894A	雨
1547	894B	卯
1548	894C	鵜
1549	894D	窺
1550	894E	丑
1551	894F	碓
1552	8950	臼
1553	8951	渦
1554	8952	嘘
1555	8953	唄
1556	8954	欝
1557	8955	蔚
1558	8956	鰻
1559	8957	姥
1560	8958	厩
1561	8959	浦
1562	895A	瓜
1563	895B	閏
1564	895C	噂
1565	895D	云
1566	895E	運
1567	895F	雲
1568	8960	荏
1569	8961	餌
1570	8962	叡
1571	8963	営
1572	8964	嬰
1573	8965	影
1574	8966	映
1575	8967	曳
1576	8968	栄
1577	8969	永
1578	896A	泳
1579	896B	洩
1580	896C	瑛
1581	896D	盈
1582	896E	穎
1583	896F	頴
1584	8970	英
1585	8971	衛
1586	8972	詠
1587	8973	鋭
1588	8974	液
1589	8975	疫
1590	8976	益
1591	8977	駅
1592	8978	悦
1593	8979	謁
1594	897A	越
1595	897B	閲
1596	897C	榎
1597	897D	厭
1598	897E	円
1600	8980	園
1601	8981	堰
1602	8982	奄
1603	8983	宴
1604	8984	延
1605	8985	怨
1606	8986	掩
1607	8987	援
1608	8988	沿
1609	8989	演
1610	898A	炎
1611	898B	焔
1612	898C	煙
1613	898D	燕
1614	898E	猿
1615	898F	縁
1616	8990	艶
1617	8991	苑
1618	8992	薗
1619	8993	遠
1620	8994	鉛
1621	8995	鴛
1622	8996	塩
1623	8997	於
1624	8998	汚
1625	8999	甥
1626	899A	凹
1627	899B	央
1628	899C	奥
1629	899D	往
1630	899E	応
1631	899F	押
1632	89A0	旺
1633	89A1	横
1634	89A2	欧
1635	89A3	殴
1636	89A4	王
1637	89A5	翁
1638	89A6	襖
1639	89A7	鴬
1640	89A8	鴎
1641	89A9	黄
1642	89AA	岡
1643	89AB	沖
1644	89AC	荻
1645	89AD	億
1646	89AE	屋
1647	89AF	憶
1648	89B0	臆
1649	89B1	桶
1650	89B2	牡
1651	89B3	乙
1652	89B4	俺
1653	89B5	卸
1654	89B6	恩
1655	89B7	温
1656	89B8	穏
1657	89B9	音
1658	89BA	下
1659	89BB	化
1660	89BC	仮
1661	89BD	何
1662	89BE	伽
1663	89BF	価
1664	89C0	佳
1665	89C1	加
1666	89C2	可
1667	89C3	嘉
1668	89C4	夏
1669	89C5	嫁
1670	89C6	家
1671	89C7	寡
1672	89C8	科
1673	89C9	暇
1674	89CA	果
1675	89CB	架
1676	89CC	歌
1677	89CD	河
1678	89CE	火
1679	89CF	珂
1680	89D0	禍
1681	89D1	禾
1682	89D2	稼
1683	89D3	箇
1684	89D4	花
1685	89D5	苛
1686	89D6	茄
1687	89D7	荷
1688	89D8	華
1689	89D9	菓
1690	89DA	蝦
1691	89DB	課
1692	89DC	嘩
1693	89DD	貨
1694	89DE	迦
1695	89DF	過
1696	89E0	霞
1697	89E1	蚊
1698	89E2	俄
1699	89E3	峨
1700	89E4	我
1701	89E5	牙
1702	89E6	画
1703	89E7	臥
1704	89E8	芽
1705	89E9	蛾
1706	89EA	賀
1707	89EB	雅
1708	89EC	餓
1709	89ED	駕
1710	89EE	介
1711	89EF	会
1712	89F0	解
1713	89F1	回
1714	89F2	塊
1715	89F3	壊
1716	89F4	廻
1717	89F5	快
1718	89F6	怪
1719	89F7	悔
1720	89F8	恢
1721	89F9	懐
1722	89FA	戒
1723	89FB	拐
1724	89FC	改
1728	8A40	魁
1729	8A41	晦
1730	8A42	械
1731	8A43	海
1732	8A44	灰
1733	8A45	界
1734	8A46	皆
1735	8A47	絵
1736	8A48	芥
1737	8A49	蟹
1738	8A4A	開
1739	8A4B	階
1740	8A4C	貝
1741	8A4D	凱
1742	8A4E	劾
1743	8A4F	外
1744	8A50	咳
1745	8A51	害
1746	8A52	崖
1747	8A53	慨
1748	8A54	概
1749	8A55	涯
1750	8A56	碍
1751	8A57	蓋
1752	8A58	街
1753	8A59	該
1754	8A5A	鎧
1755	8A5B	骸
1756	8A5C	浬
1757	8A5D	馨
1758	8A5E	蛙
1759	8A5F	垣
1760	8A60	柿
1761	8A61	蛎
1762	8A62	鈎
1763	8A63	劃
1764	8A64	嚇
1765	8A65	各
1766	8A66	廓
1767	8A67	拡
1768	8A68	撹
1769	8A69	格
1770	8A6A	核
1771	8A6B	殻
1772	8A6C	獲
1773	8A6D	確
1774	8A6E	穫
1775	8A6F	覚
1776	8A70	角
1777	8A71	赫
1778	8A72	較
1779	8A73	郭
1780	8A74	閣
1781	8A75	隔
1782	8A76	革
1783	8A77	学
1784	8A78	岳
1785	8A79	楽
1786	8A7A	額
1787	8A7B	顎
1788	8A7C	掛
1789	8A7D	笠
1790	8A7E	樫
1792	8A80	橿
1793	8A81	梶
1794	8A82	鰍
1795	8A83	潟
1796	8A84	割
1797	8A85	喝
1798	8A86	恰
1799	8A87	括
1800	8A88	活
1801	8A89	渇
1802	8A8A	滑
1803	8A8B	葛
1804	8A8C	褐
1805	8A8D	轄
1806	8A8E	且
1807	8A8F	鰹
1808	8A90	叶
1809	8A91	椛
1810	8A92	樺
1811	8A93	鞄
1812	8A94	株
1813	8A95	兜
1814	8A96	竃
1815	8A97	蒲
1816	8A98	釜
1817	8A99	鎌
1818	8A9A	噛
1819	8A9B	鴨
1820	8A9C	栢
1821	8A9D	茅
1822	8A9E	萱
1823	8A9F	粥
1824	8AA0	刈
1825	8AA1	苅
1826	8AA2	瓦
1827	8AA3	乾
1828	8AA4	侃
1829	8AA5	冠
1830	8AA6	寒
1831	8AA7	刊
1832	8AA8	勘
1833	8AA9	勧
1834	8AAA	巻
1835	8AAB	喚
1836	8AAC	堪
1837	8AAD	姦
1838	8AAE	完
1839	8AAF	官
1840	8AB0	寛
1841	8AB1	干
1842	8AB2	幹
1843	8AB3	患
1844	8AB4	感
1845	8AB5	慣
1846	8AB6	憾
1847	8AB7	換
1848	8AB8	敢
1849	8AB9	柑
1850	8ABA	桓
1851	8ABB	棺
1852	8ABC	款
1853	8ABD	歓
1854	8ABE	汗
1855	8ABF	漢
1856	8AC0	澗
1857	8AC1	潅
1858	8AC2	環
1859	8AC3	甘
1860	8AC4	監
1861	8AC5	看
1862	8AC6	竿
1863	8AC7	管
1864	8AC8	簡
1865	8AC9	緩
1866	8ACA	缶
1867	8ACB	翰
1868	8ACC	肝
1869	8ACD	艦
1870	8ACE	莞
1871	8ACF	観
1872	8AD0	諌
1873	8AD1	貫
1874	8AD2	還
1875	8AD3	鑑
1876	8AD4	間
1877	8AD5	閑
1878	8AD6	関
1879	8AD7	陥
1880	8AD8	韓
1881	8AD9	館
1882	8ADA	舘
1883	8ADB	丸
1884	8ADC	含
1885	8ADD	岸
1886	8ADE	巌
1887	8ADF	玩
1888	8AE0	癌
1889	8AE1	眼
1890	8AE2	岩
1891	8AE3	翫
1892	8AE4	贋
1893	8AE5	雁
1894	8AE6	頑
1895	8AE7	顔
1896	8AE8	願
1897	8AE9	企
1898	8AEA	伎
1899	8AEB	危
1900	8AEC	喜
1901	8AED	器
1902	8AEE	基
1903	8AEF	奇
1904	8AF0	嬉
1905	8AF1	寄
1906	8AF2	岐
1907	8AF3	希
1908	8AF4	幾
1909	8AF5	忌
1910	8AF6	揮
1911	8AF7	机
1912	8AF8	旗
1913	8AF9	既
1914	8AFA	期
1915	8AFB	棋
1916	8AFC	棄
1920	8B40	機
1921	8B41	帰
1922	8B42	毅
1923	8B43	気
1924	8B44	汽
1925	8B45	畿
1926	8B46	祈
1927	8B47	季
1928	8B48	稀
1929	8B49	紀
1930	8B4A	徽
1931	8B4B	規
1932	8B4C	記
1933	8B4D	貴
1934	8B4E	起
1935	8B4F	軌
1936	8B50	輝
1937	8B51	飢
1938	8B52	騎
1939	8B53	鬼
1940	8B54	亀
1941	8B55	偽
1942	8B56	儀
1943	8B57	妓
1944	8B58	宜
1945	8B59	戯
1946	8B5A	技
1947	8B5B	擬
1948	8B5C	欺
1949	8B5D	犠
1950	8B5E	疑
1951	8B5F	祇
1952	8B60	義
1953	8B61	蟻
1954	8B62	誼
1955	8B63	議
1956	8B64	掬
1957	8B65	菊
1958	8B66	鞠
1959	8B67	吉
1960	8B68	吃
1961	8B69	喫
1962	8B6A	桔
1963	8B6B	橘
1964	8B6C	詰
1965	8B6D	砧
1966	8B6E	杵
1967	8B6F	黍
1968	8B70	却
1969	8B71	客
1970	8B72	脚
1971	8B73	虐
1972	8B74	逆
1973	8B75	丘
1974	8B76	久
1975	8B77	仇
1976	8B78	休
1977	8B79	及
1978	8B7A	吸
1979	8B7B	宮
1980	8B7C	弓
1981	8B7D	急
1982	8B7E	救
1984	8B80	朽
1985	8B81	求
1986	8B82	汲
1987	8B83	泣
1988	8B84	灸
1989	8B85	球
1990	8B86	究
1991	8B87	窮
1992	8B88	笈
1993	8B89	級
1994	8B8A	糾
1995	8B8B	給
1996	8B8C	旧
1997	8B8D	牛
1998	8B8E	去
1999	8B8F	居
2000	8B90	巨
2001	8B91	拒
2002	8B92	拠
2003	8B93	挙
2004	8B94	渠
2005	8B95	虚
2006	8B96	許
2007	8B97	距
2008	8B98	鋸
2009	8B99	漁
2010	8B9A	禦
2011	8B9B	魚
2012	8B9C	亨
2013	8B9D	享
2014	8B9E	京
2015	8B9F	供
2016	8BA0	侠
2017	8BA1	僑
2018	8BA2	兇
2019	8BA3	競
2020	8BA4	共
2021	8BA5	凶
2022	8BA6	協
2023	8BA7	匡
2024	8BA8	卿
2025	8BA9	叫
2026	8BAA	喬
2027	8BAB	境
2028	8BAC	峡
2029	8BAD	強
2030	8BAE	彊
2031	8BAF	怯
2032	8BB0	恐
2033	8BB1	恭
2034	8BB2	挟
2035	8BB3	教
2036	8BB4	橋
2037	8BB5	況
2038	8BB6	狂
2039	8BB7	狭
2040	8BB8	矯
2041	8BB9	胸
2042	8BBA	脅
2043	8BBB	興
2044	8BBC	蕎
2045	8BBD	郷
2046	8BBE	鏡
2047	8BBF	響
2048	8BC0	饗
2049	8BC1	驚
2050	8BC2	仰
2051	8BC3	凝
2052	8BC4	尭
2053	8BC5	暁
2054	8BC6	業
2055	8BC7	局
2056	8BC8	曲
2057	8BC9	極
2058	8BCA	玉
2059	8BCB	桐
2060	8BCC	粁
2061	8BCD	僅
2062	8BCE	勤
2063	8BCF	均
2064	8BD0	巾
2065	8BD1	錦
2066	8BD2	斤
2067	8BD3	欣
2068	8BD4	欽
2069	8BD5	琴
2070	8BD6	禁
2071	8BD7	禽
2072	8BD8	筋
2073	8BD9	緊
2074	8BDA	芹
2075	8BDB	菌
2076	8BDC	衿
2077	8BDD	襟
2078	8BDE	謹
2079	8BDF	近
2080	8BE0	金
2081	8BE1	吟
2082	8BE2	銀
2083	8BE3	九
2084	8BE4	倶
2085	8BE5	句
2086	8BE6	区
2087	8BE7	狗
2088	8BE8	玖
2089	8BE9	矩
2090	8BEA	苦
2091	8BEB	躯
2092	8BEC	駆
2093	8BED	駈
2094	8BEE	駒
2095	8BEF	具
2096	8BF0	愚
2097	8BF1	虞
2098	8BF2	喰
2099	8BF3	空
2100	8BF4	偶
2101	8BF5	寓
2102	8BF6	遇
2103	8BF7	隅
2104	8BF8	串
2105	8BF9	櫛
2106	8BFA	釧
2107	8BFB	屑
2108	8BFC	屈
2112	8C40	掘
2113	8C41	窟
2114	8C42	沓
2115	8C43	靴
2116	8C44	轡
2117	8C45	窪
2118	8C46	熊
2119	8C47	隈
2120	8C48	粂
2121	8C49	栗
2122	8C4A	繰
2123	8C4B	桑
2124	8C4C	鍬
2125	8C4D	勲
2126	8C4E	君
2127	8C4F	薫
2128	8C50	訓
2129	8C51	群
2130	8C52	軍
2131	8C53	郡
2132	8C54	卦
2133	8C55	袈
2134	8C56	祁
2135	8C57	係
2136	8C58	傾
2137	8C59	刑
2138	8C5A	兄
2139	8C5B	啓
2140	8C5C	圭
2141	8C5D	珪
2142	8C5E	型
2143	8C5F	契
2144	8C60	形
2145	8C61	径
2146	8C62	恵
2147	8C63	慶
2148	8C64	慧
2149	8C65	憩
2150	8C66	掲
2151	8C67	携
2152	8C68	敬
2153	8C69	景
2154	8C6A	桂
2155	8C6B	渓
2156	8C6C	畦
2157	8C6D	稽
2158	8C6E	系
2159	8C6F	経
2160	8C70	継
2161	8C71	繋
2162	8C72	罫
2163	8C73	茎
2164	8C74	荊
2165	8C75	蛍
2166	8C76	計
2167	8C77	詣
2168	8C78	警
2169	8C79	軽
2170	8C7A	頚
2171	8C7B	鶏
2172	8C7C	芸
2173	8C7D	迎
2174	8C7E	鯨
2176	8C80	劇
2177	8C81	戟
2178	8C82	撃
2179	8C83	激
2180	8C84	隙
2181	8C85	桁
2182	8C86	傑
2183	8C87	欠
2184	8C88	決
2185	8C89	潔
2186	8C8A	穴
2187	8C8B	結
2188	8C8C	血
2189	8C8D	訣
2190	8C8E	月
2191	8C8F	件
2192	8C90	倹
2193	8C91	倦
2194	8C92	健
2195	8C93	兼
2196	8C94	券
2197	8C95	剣
2198	8C96	喧
2199	8C97	圏
2200	8C98	堅
2201	8C99	嫌
2202	8C9A	建
2203	8C9B	憲
2204	8C9C	懸
2205	8C9D	拳
2206	8C9E	捲
2207	8C9F	検
2208	8CA0	権
2209	8CA1	牽
2210	8CA2	犬
2211	8CA3	献
2212	8CA4	研
2213	8CA5	硯
2214	8CA6	絹
2215	8CA7	県
2216	8CA8	肩
2217	8CA9	見
2218	8CAA	謙
2219	8CAB	賢
2220	8CAC	軒
2221	8CAD	遣
2222	8CAE	鍵
2223	8CAF	険
2224	8CB0	顕
2225	8CB1	験
2226	8CB2	鹸
2227	8CB3	元
2228	8CB4	原
2229	8CB5	厳
2230	8CB6	幻
2231	8CB7	弦
2232	8CB8	減
2233	8CB9	源
2234	8CBA	玄
2235	8CBB	現
2236	8CBC	絃
2237	8CBD	舷
2238	8CBE	言
2239	8CBF	諺
2240	8CC0	限
2241	8CC1	乎
2242	8CC2	個
2243	8CC3	古
2244	8CC4	呼
2245	8CC5	固
2246	8CC6	姑
2247	8CC7	孤
2248	8CC8	己
